customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,NumOfInternetService
0280-XJGEX,Male,No,No,No,long,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),>66,>2500,Yes,4
5129-JLPIS,Male,No,No,No,long,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,>66,>2500,No,5
3655-SNQYZ,Female,No,Yes,Yes,long,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),>66,>2500,No,6
8191-XWSZG,Female,No,No,No,long,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,<36,800~2500,No,0
9959-WOFKT,Male,No,No,Yes,long,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),>66,>2500,No,4
4190-MFLUW,Female,No,Yes,Yes,short,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),50~66,<800,Yes,2
4183-MYFRB,Female,No,No,No,long,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,>66,800~2500,No,3
8779-QRDMV,Male,Yes,No,No,short,No,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,36~50,<800,Yes,2
1680-VDCWW,Male,No,Yes,No,short,Yes,No,No,No,No,No,No,No,No,One year,No,Bank transfer (automatic),<36,<800,No,0
1066-JKSGK,Male,No,No,No,short,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,<36,<800,Yes,0
3638-WEABW,Female,No,Yes,No,long,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),50~66,>2500,No,2
6322-HRPFA,Male,No,Yes,Yes,long,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),50~66,>2500,No,3
6865-JZNKO,Female,No,No,No,long,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),50~66,800~2500,No,2
6467-CHFZW,Male,No,Yes,Yes,long,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,>66,>2500,Yes,3
8665-UTDHZ,Male,No,Yes,Yes,short,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,<36,<800,Yes,1
5248-YGIJN,Male,No,Yes,No,long,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),>66,>2500,No,6
8773-HHUOZ,Female,No,No,Yes,short,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,50~66,800~2500,Yes,2
3841-NFECX,Female,Yes,Yes,No,long,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),>66,>2500,No,4
4929-XIHVW,Male,Yes,Yes,No,short,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),>66,<800,No,3
6827-IEAUQ,Female,No,Yes,Yes,long,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,>66,800~2500,No,4
7310-EGVHZ,Male,No,No,No,short,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),<36,<800,No,0
3413-BMNZE,Male,Yes,No,No,short,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),36~50,<800,No,0
6234-RAAPL,Female,No,Yes,Yes,long,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),>66,>2500,No,4
6047-YHPVI,Male,No,No,No,short,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,>66,<800,Yes,0
6572-ADKRS,Female,No,No,No,long,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),>66,>2500,No,1
5380-WJKOV,Male,No,No,No,long,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,>66,>2500,Yes,4
8168-UQWWF,Female,No,No,No,short,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),>66,800~2500,Yes,3
8865-TNMNX,Male,No,Yes,Yes,short,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,36~50,<800,No,1
9489-DEDVP,Female,No,Yes,Yes,long,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),>66,>2500,No,3
9867-JCZSP,Female,No,Yes,Yes,short,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,<36,<800,No,0
4671-VJLCL,Female,No,No,No,long,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),>66,>2500,No,5
4080-IIARD,Female,No,Yes,No,short,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,>66,800~2500,No,4
3714-NTNFO,Female,No,No,No,long,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,>66,>2500,No,1
5948-UJZLF,Male,No,No,No,short,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,36~50,<800,No,1
7760-OYPDY,Female,No,No,No,short,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,>66,<800,Yes,1
7639-LIAYI,Male,No,No,No,long,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),>66,>2500,No,4
2954-PIBKO,Female,No,Yes,Yes,long,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),50~66,>2500,No,3
8012-SOUDQ,Female,Yes,No,No,long,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,>66,>2500,No,2
9420-LOJKX,Female,No,No,No,short,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),>66,800~2500,Yes,4
6575-SUVOI,Female,Yes,Yes,No,long,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),>66,800~2500,No,3
7495-OOKFY,Female,Yes,Yes,No,short,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),>66,<800,Yes,1
4667-QONEA,Female,Yes,Yes,Yes,long,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),>66,>2500,No,5
1658-BYGOY,Male,Yes,No,No,short,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,>66,800~2500,Yes,2
8769-KKTPH,Female,No,Yes,Yes,long,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),>66,>2500,No,3
5067-XJQFU,Male,Yes,Yes,Yes,long,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,>66,>2500,No,5
3957-SQXML,Female,No,Yes,Yes,long,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),<36,800~2500,No,0
5954-BDFSG,Female,No,No,No,long,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),>66,>2500,No,4
0434-CSFON,Female,No,Yes,No,long,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,>66,>2500,No,3
1215-FIGMP,Male,No,No,No,long,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),>66,>2500,No,2
0526-SXDJP,Male,No,Yes,No,long,No,No,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),36~50,>2500,No,3
0557-ASKVU,Female,No,Yes,Yes,short,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),50~66,800~2500,No,2
5698-BQJOH,Female,No,No,No,short,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,>66,800~2500,Yes,2
5122-CYFXA,Female,No,No,No,short,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,>66,<800,No,4
8627-ZYGSZ,Male,No,Yes,No,long,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,>66,>2500,No,1
3410-YOQBQ,Female,No,No,No,long,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,>66,800~2500,No,5
3170-NMYVV,Female,No,Yes,Yes,long,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),<36,800~2500,No,0
7410-OIEDU,Male,No,No,No,short,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,>66,800~2500,No,2
2273-QCKXA,Male,No,No,No,short,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,36~50,<800,No,1
0731-EBJQB,Female,No,Yes,Yes,long,Yes,No,No,No,No,No,No,No,No,One year,Yes,Electronic check,<36,800~2500,No,0
1891-QRQSA,Male,Yes,Yes,Yes,long,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),>66,>2500,No,5
8028-PNXHQ,Male,No,Yes,Yes,long,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),<36,800~2500,No,0
5630-AHZIL,Female,No,No,Yes,short,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),50~66,<800,No,3
2673-CXQEU,Female,Yes,No,No,long,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,>66,>2500,No,5
6416-JNVRK,Female,No,No,No,long,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),50~66,>2500,No,1
5590-ZSKRV,Female,No,Yes,Yes,short,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,50~66,<800,No,2
0191-ZHSKZ,Male,Yes,No,No,long,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,>66,800~2500,No,4
3887-PBQAO,Female,No,Yes,Yes,long,Yes,Yes,No,No,No,No,No,No,No,One year,Yes,Credit card (automatic),<36,800~2500,No,0
5919-TMRGD,Female,No,No,Yes,short,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,>66,<800,Yes,1
8108-UXRQN,Female,No,Yes,Yes,short,No,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50~66,<800,No,3
9191-MYQKX,Female,No,Yes,No,short,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),>66,<800,Yes,1
9919-YLNNG,Female,No,No,No,long,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),>66,>2500,No,5
0318-ZOPWS,Female,No,Yes,No,long,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),<36,800~2500,No,0
4445-ZJNMU,Male,No,No,No,short,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),>66,800~2500,No,3
4808-YNLEU,Female,No,Yes,No,long,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),50~66,800~2500,No,2
1862-QRWPE,Female,No,Yes,Yes,long,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),<36,800~2500,No,0
2796-NNUFI,Female,No,Yes,Yes,long,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Mailed check,<36,800~2500,No,0
3016-KSVCP,Male,No,Yes,No,long,No,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,<36,800~2500,No,1
4767-HZZHQ,Male,No,Yes,Yes,long,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),>66,>2500,No,2
2424-WVHPL,Male,Yes,No,No,short,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,>66,<800,No,1
7233-PAHHL,Male,No,Yes,Yes,long,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,>66,>2500,No,5
6067-NGCEU,Female,No,No,No,long,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),>66,>2500,No,5
9848-JQJTX,Male,No,No,No,long,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),>66,>2500,No,4
8637-XJIVR,Female,No,No,No,short,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,>66,800~2500,Yes,1
9803-FTJCG,Male,No,Yes,Yes,long,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),>66,>2500,No,3
0278-YXOOG,Male,No,No,No,short,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,<36,<800,Yes,0
3212-KXOCR,Male,No,No,No,long,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),<36,800~2500,No,0
4598-XLKNJ,Female,Yes,Yes,No,long,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,>66,>2500,Yes,4
6380-ARCEH,Male,No,No,No,short,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,<36,<800,No,0
3679-XASPY,Female,No,Yes,Yes,short,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,<36,<800,No,0
7123-WQUHX,Male,No,No,No,long,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),>66,>2500,No,3
5386-THSLQ,Female,Yes,Yes,No,long,No,No,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),36~50,>2500,No,3
3192-NQECA,Male,No,Yes,No,long,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),>66,>2500,Yes,5
6180-YBIQI,Male,No,No,No,short,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,<36,<800,No,0
6728-DKUCO,Female,No,Yes,Yes,long,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,>66,>2500,No,4
9750-BOOHV,Female,No,No,No,long,No,No,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,<36,800~2500,No,1
8597-CWYHH,Male,No,No,No,long,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,>66,>2500,No,2
2848-YXSMW,Male,No,Yes,Yes,long,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),<36,800~2500,No,0
0486-HECZI,Male,No,Yes,No,long,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,>66,>2500,Yes,3
4549-ZDQYY,Female,No,No,No,long,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),50~66,>2500,No,3
5712-AHQNN,Female,No,No,No,long,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,>66,>2500,No,3
4846-WHAFZ,Female,Yes,Yes,No,long,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,>66,>2500,Yes,0
5256-SKJGO,Female,No,Yes,Yes,long,No,No,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,50~66,>2500,No,4
3071-VBYPO,Male,No,Yes,Yes,short,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,>66,<800,No,3
9560-BBZXK,Female,No,No,No,long,No,No,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),<36,800~2500,No,1
5299-RULOA,Female,No,Yes,Yes,short,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,>66,800~2500,Yes,3
8402-OOOHJ,Female,No,No,No,long,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,<36,800~2500,No,0
9445-ZUEQE,Male,No,Yes,Yes,long,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),>66,800~2500,No,2
1091-SOZGA,Female,No,Yes,Yes,long,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),>66,>2500,No,3
2928-HLDBA,Female,No,No,No,short,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,<36,<800,No,0
0404-SWRVG,Male,No,No,No,short,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,>66,<800,Yes,0
6497-TILVL,Female,No,Yes,Yes,short,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,50~66,<800,No,1
7219-TLZHO,Female,No,Yes,Yes,short,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,<36,<800,No,0
4622-YNKIJ,Male,No,No,No,long,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,>66,>2500,No,3
4412-YLTKF,Female,Yes,No,No,long,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,>66,800~2500,Yes,1
6734-PSBAW,Male,No,Yes,No,long,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),<36,800~2500,No,0
3930-ZGWVE,Male,No,No,No,short,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,<36,<800,No,0
2639-UGMAZ,Male,Yes,No,No,long,No,No,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,50~66,>2500,No,4
2876-GZYZC,Female,No,No,No,short,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,>66,800~2500,No,1
6207-WIOLX,Female,No,Yes,Yes,long,No,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),50~66,800~2500,Yes,5
8587-XYZSF,Male,No,No,No,long,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),50~66,>2500,No,1
3091-FYHKI,Male,No,No,No,short,No,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,<36,<800,Yes,1
2372-HWUHI,Male,No,No,No,short,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,36~50,<800,Yes,0
7799-LGRDP,Female,No,No,No,long,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),<36,800~2500,No,0
7850-VWJUU,Female,No,No,No,long,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),>66,800~2500,No,1
3774-VBNXY,Female,No,Yes,Yes,long,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,<36,800~2500,No,0
6217-KDYWC,Male,No,No,Yes,long,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Mailed check,<36,800~2500,No,0
0390-DCFDQ,Female,Yes,Yes,No,short,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,>66,<800,Yes,0
3146-MSEGF,Female,Yes,Yes,Yes,long,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),>66,>2500,No,6
4080-OGPJL,Female,No,No,No,short,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,>66,<800,Yes,3
1095-WGNGG,Female,No,Yes,No,long,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),>66,>2500,No,3
2636-SJDOU,Male,No,No,No,long,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic),>66,>2500,No,2
1131-QQZEB,Male,Yes,Yes,No,long,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),<36,800~2500,No,0
5716-EZXZN,Female,No,Yes,Yes,long,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),>66,>2500,No,4
6837-BJYDQ,Male,No,No,No,short,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,<36,<800,No,0
2135-RXIHG,Male,No,No,No,short,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,36~50,<800,Yes,0
6440-DKQGE,Male,No,No,Yes,long,Yes,No,DSL,No,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),50~66,800~2500,No,3
3466-BYAVD,Male,No,Yes,Yes,short,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,>66,800~2500,No,4
3780-YVMFA,Female,No,Yes,Yes,short,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,>66,<800,No,3
3874-EQOEP,Male,No,No,No,short,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,>66,<800,Yes,2
1679-JRFBR,Female,No,Yes,Yes,long,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),>66,>2500,No,5
9073-ZZIAY,Male,No,Yes,Yes,long,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,>66,>2500,No,6
3077-RSNTJ,Female,No,Yes,Yes,short,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,<36,<800,No,0
6551-GNYDG,Female,No,Yes,Yes,short,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),>66,800~2500,No,1
9167-APMXZ,Female,No,No,No,long,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),>66,800~2500,No,1
2749-CTKAJ,Male,No,Yes,Yes,long,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,<36,<800,No,0
6371-NZYEG,Male,No,Yes,Yes,short,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Two year,No,Mailed check,50~66,800~2500,No,3
7554-NEWDD,Male,No,No,No,short,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),<36,<800,No,0
8992-VONJD,Female,No,No,Yes,short,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,50~66,<800,No,2
0867-MKZVY,Female,No,Yes,No,short,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,>66,800~2500,Yes,1
4482-EWFMI,Female,No,No,No,short,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,>66,<800,No,0
4648-YPBTM,Male,No,No,No,long,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),>66,>2500,No,4
2907-ILJBN,Female,No,Yes,Yes,short,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,<36,<800,No,0
6345-FZOQH,Male,No,Yes,No,long,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,<36,800~2500,No,0
3376-BMGFE,Female,No,No,No,short,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),>66,<800,Yes,0
5997-OPVFA,Male,No,Yes,No,long,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),>66,>2500,No,6
3445-HXXGF,Male,Yes,Yes,No,long,No,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,36~50,>2500,Yes,3
1159-WFSGR,Female,No,Yes,Yes,short,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,<36,<800,No,0
7654-YWJUF,Male,No,Yes,No,long,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),>66,>2500,No,3
1875-QIVME,Female,No,Yes,No,short,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,>66,<800,Yes,4
6727-IOTLZ,Male,No,Yes,No,short,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,>66,800~2500,No,5
0691-JVSYA,Female,No,Yes,No,long,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),>66,>2500,Yes,3
5918-VUKWP,Female,No,No,No,long,Yes,No,No,No,No,No,No,No,No,One year,No,Bank transfer (automatic),<36,<800,No,0
1744-JHKYS,Female,No,Yes,No,long,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,<36,<800,No,0
